,xcoord,ycoord,zcoord
1,-194.04,0.22,30.2
2,-203.32,1.93,20.08
3,-200.25,3.59,23.93
4,-205.88,3.58,14.82
5,-193.17,9.53,29.67
6,-206.59,4.75,12.24
7,-198.13,10.86,24.38
8,-194.7,14.42,26.54
9,-203.75,9.78,16.51
10,-200.11,16.36,18.09
11,-206.22,8.91,9.06
12,-202.39,15.86,13.52
13,-202.13,17.37,11.52
14,-205.72,11.48,7.34
15,-201.42,19.56,7.27
16,-206.71,7.37,2.37
17,-199.03,22.45,4.71
18,-203.69,15.38,2.84
19,-193.52,27.76,2.68
20,-200.4,19.64,0.58
21,-195.41,24.85,-0.93
22,-204.12,12.19,-1.35
23,-197.57,21.36,-4.07
24,-201.96,14.23,-4.56
25,-191.43,24.9,-8.45
26,-198.93,16.66,-7.57
27,-189.89,23.53,-11.8
28,-199.52,12.18,-10.22
29,-191.08,19.69,-14.76
30,-203.95,5.83,-7
31,-181.31,18.08,-23.91
32,-198.16,9.7,-13.51
33,-207.38,-0.27,0.5
34,-191.34,11.26,-19.46
35,-196.33,6.75,-16.53
36,-202.33,3.33,-10.37
37,-190.68,0.98,-22
38,-199.8,1.62,-13.77
39,-188.29,0.66,34.68
40,-191.09,4.46,32.25
41,-186.07,6.96,35.54
42,-196.23,5.6,27.78
43,-182.3,12.52,36.49
44,-188.33,10.15,33.21
45,-189.78,18.29,28.67
46,-184.57,23.68,28.95
47,-183.93,19.93,31.93
48,-193.92,21.58,21.86
49,-188.45,26.23,22.81
50,-193.29,24.83,18.67
51,-194.58,26.19,13.2
52,-196.32,25.09,10.41
53,-187.25,31.71,14.18
54,-194.23,27.54,7.25
55,-187.86,31.86,11.36
56,-188.06,31.96,7.59
57,-182.26,35.29,5.73
58,-188.29,31.55,3.2
59,-182.97,34.45,1.15
60,-189.61,29.8,-1.46
61,-185.84,31.5,-3.61
62,-192.37,25.49,-5.65
63,-172.7,35.48,-11.81
64,-183.3,28.99,-12.01
65,-176.45,31.59,-14.61
66,-195.65,18.06,-10.91
67,-184.03,23.38,-17.77
68,-193.84,14.24,-15.65
69,-188.59,17.76,-18.39
70,-183.95,19.04,-21.22
71,-184.15,10.62,-25.33
72,-187.38,12.39,-22.09
73,-187.88,5.92,-23.67
74,-193.25,4.68,-19.69
75,-175.53,2.27,-32.6
76,-182.08,1.02,-28.31
77,-180.29,3.01,39.41
78,-183.07,5.07,37.64
79,-176.71,8.6,40.34
80,-179.45,11.23,38.48
81,-184.39,15.39,34.09
82,-189.2,14.85,31.05
83,-179.75,19.66,35.07
84,-173.69,23.25,36.21
85,-179.72,25.04,31.28
86,-186.15,25.22,26.17
87,-179.22,28.5,28.58
88,-181.56,29.86,24.65
89,-184.57,30.39,20.88
90,-189.08,29.12,17.61
91,-181.96,33.41,18.12
92,-180.25,35.48,14.58
93,-176.5,37.87,11.36
94,-180.88,36.04,9.43
95,-175.05,39.04,6.21
96,-176.25,38.13,2.85
97,-171.27,40.29,0.75
98,-178.62,36.17,-1.22
99,-180.91,33.72,-5.8
100,-185.17,29.9,-8.11
101,-166.02,39.3,-11.01
102,-168.87,35.93,-14.81
103,-170.14,33.06,-18.26
104,-184.1,26.13,-14.88
105,-178.82,25.49,-20.19
106,-176.37,24.62,-22.72
107,-178.61,16.53,-26.82
108,-171.31,22.44,-28.24
109,-175.64,14.97,-29.39
110,-181.31,8.86,-27.81
111,-169.14,14.28,-33.81
112,-174.16,10.53,-32.05
113,-165.1,5.47,-38.6
114,-185.3,0.94,-26.14
115,-171.19,2.95,43.77
116,-175.15,4.97,41.79
117,-170.9,8.79,43.19
118,-172.06,12.74,41.61
119,-174.53,15.17,39.61
120,-168.74,18.56,41.03
121,-167.14,24.72,38.38
122,-171.33,20.82,38.76
123,-169.35,27.19,35.61
124,-176.62,24.53,33.59
125,-173.74,29.7,30.92
126,-173.04,32.66,27.82
127,-176.37,32.58,25.45
128,-177.91,33.99,21.83
129,-174.78,36.9,18.88
130,-173.91,38.37,15.4
131,-169.24,40.88,12.57
132,-170.39,40.81,8.89
133,-161.85,44.62,4.72
134,-167.93,42.05,5.22
135,-165.72,42.64,1.03
136,-174.55,37.69,-3.59
137,-174.22,36.65,-7.58
138,-178.41,32.93,-10.1
139,-162.37,39.4,-14.69
140,-163.82,36.57,-18.38
141,-164.56,33.63,-22.14
142,-176.89,29.4,-17.35
143,-169.17,28.7,-24.18
144,-174.29,22.87,-25.71
145,-166.25,24.6,-30.09
146,-165.2,20.97,-33.03
147,-170.76,18.09,-31.18
148,-162.59,12.81,-38.56
149,-167.06,10.56,-36.43
150,-171.53,6.69,-34.45
151,-160.64,7.51,-40.85
152,-169.27,2.29,-36.49
153,-164.19,-0.52,46.6
154,-167.63,3.03,45.25
155,-164.48,6.82,46.11
156,-167.27,10.04,44.47
157,-167.14,15.74,42.78
158,-163.49,14.61,44.64
159,-163.9,23.55,40.55
160,-160.11,27.99,39.1
161,-163.35,29.34,36.59
162,-170.51,29.38,32.8
163,-164.31,31.79,33.74
164,-166.13,33.96,30.53
165,-168.74,36.98,24.36
166,-171.19,36.94,22.26
167,-164.26,40.61,20.41
168,-168.23,39.94,18.2
169,-165.09,42.14,14.69
170,-163.49,43.64,9.28
171,-151.26,48.08,10.4
172,-157.01,46.43,7.9
173,-158.24,45.88,0.71
174,-161.87,43.94,-2.72
175,-161.39,43.21,-6.58
176,-167.85,39.91,-7.52
177,-157.11,41.1,-16.74
178,-158.62,38.02,-20.62
179,-154.4,38.45,-23.29
180,-171.17,30.16,-21.17
181,-161.03,30.15,-28.67
182,-166,28.66,-26.6
183,-160.43,26.76,-32.03
184,-159.33,23.66,-35.16
185,-153.87,19.93,-40.45
186,-163.73,17.55,-35.88
187,-152.63,15.05,-43.1
188,-155.7,8.99,-43.3
189,-151.3,8.75,-45.53
190,-162.04,0.64,-40.69
191,-156.51,1.93,49.21
192,-161.25,2.8,47.65
193,-159.17,7.09,47.98
194,-161.32,11.15,46.44
195,-157.8,14.92,46.56
196,-159.29,19,44.63
197,-162.44,20.25,42.79
198,-158.12,24.95,41.94
199,-154.3,29.81,40.18
200,-156.94,32.16,36.87
201,-158.24,34.5,33.91
202,-159.96,36.28,30.99
203,-160.01,38.57,27.69
204,-162.67,39.21,24.87
205,-158.96,42.05,21.91
206,-159.77,43.49,17.05
207,-154.29,46.23,14.36
208,-159.5,44.89,12.22
209,-148.57,49.49,6.42
210,-154.56,47.6,4.02
211,-150.87,48.76,-0.36
212,-154.56,46.89,-3.57
213,-155.1,45.8,-7.7
214,-159.61,42.54,-10.81
215,-149.62,45.33,-15.76
216,-151.99,42.34,-19.5
217,-149.98,38.85,-26.32
218,-160.7,33.85,-24.7
219,-150.04,36.03,-29.75
220,-155.43,31.86,-30.77
221,-154.34,28.98,-34.22
222,-154.06,24.81,-37.53
223,-149.18,25.33,-39.89
224,-157.67,13.83,-40.91
225,-142.92,15.61,-47.45
226,-148.19,14.82,-45.3
227,-148.3,4.26,-47.51
228,-153.3,2.13,-45.36
229,-151.68,1.84,50.7
230,-153.92,6.2,49.76
231,-148.61,6.26,51.23
232,-155.55,10.83,48.5
233,-152.35,15.21,48.3
234,-153.98,18.98,46.47
235,-148.39,19.36,48.01
236,-151.89,27.41,42.66
237,-147.09,31.86,41.05
238,-150.58,33.51,38.26
239,-151.78,36.17,35.26
240,-152.55,38.55,32.02
241,-154.01,40.27,28.92
242,-154.42,42.36,24.93
243,-150.02,45.19,22.21
244,-154.17,44.91,19.12
245,-148.55,47.56,16.95
246,-146.06,49.23,12.92
247,-139.87,51.91,4.72
248,-146.5,50.21,2.43
249,-144.46,50.69,-2.64
250,-148.17,49,-6.11
251,-149.47,47.51,-10.28
252,-154.66,44.06,-13.11
253,-145.08,45.88,-19.15
254,-147.62,42.48,-22.78
255,-143.32,42.51,-26.17
256,-155.77,34.8,-26.99
257,-142.8,37.46,-32.85
258,-148.89,33.6,-33.27
259,-143.06,34.17,-36.14
260,-148.82,29.83,-36.66
261,-144.16,25.59,-42.26
262,-148.88,20.5,-42.74
263,-136.75,15.41,-50.15
264,-146.08,10.23,-47.61
265,-142.96,5.92,-49.58
266,-144.17,0.3,-49.48
267,-140.5,1.29,53.45
268,-146.36,1.87,52.18
269,-143.2,5.93,52.55
270,-150.61,10.57,50.03
271,-147.08,15.02,49.83
272,-143.34,19.87,49.16
273,-144.81,24.48,46.74
274,-146.4,28.27,43.99
275,-141.09,32.34,42.64
276,-142.22,35.8,39.19
277,-145.16,37.34,36.56
278,-145.86,40.11,33.16
279,-146.58,42.32,29.62
280,-147.96,44.05,26.27
281,-142.06,46.88,23.84
282,-143.94,47.87,20.14
283,-140.88,50.03,16.35
284,-142.99,50.81,8.73
285,-135.66,52.59,8.4
286,-139.56,52.24,0.22
287,-138.02,52.3,-4.64
288,-141.79,50.61,-8.25
289,-138.33,51.14,-11.39
290,-145.06,48.36,-13.1
291,-136.41,49.08,-19.56
292,-140.78,45.91,-22.59
293,-137.56,43.11,-29.22
294,-143.91,39.58,-29.57
295,-136.66,38.25,-35.68
296,-138.04,34.41,-38.86
297,-138.82,29.94,-41.99
298,-143.83,30.01,-39.26
299,-139.33,25.13,-44.81
300,-144.18,20.3,-44.89
301,-138.87,20.31,-47.49
302,-140.55,11.22,-49.65
303,-137.18,6.89,-51.84
304,-138.72,2.04,-51.71
305,-133.57,1.01,54.98
306,-137.13,5.06,53.91
307,-139.95,10.02,52.82
308,-145.25,10.65,51.41
309,-141.86,14.99,51.13
310,-138.04,19,50.62
311,-139.36,23.98,48.31
312,-140.58,28.35,45.49
313,-135.17,32,44.27
314,-135.96,35.76,41.14
315,-136.33,39.24,37.72
316,-139.1,41.02,34.72
317,-139.44,43.47,31.24
318,-140.35,45.5,27.67
319,-134.51,48.62,24.16
320,-136.29,49.98,20.04
321,-132.36,51.97,16.17
322,-138.67,51.24,12.5
323,-129.38,54.26,6.95
324,-133.37,53.57,3.4
325,-132.72,53.81,-2.17
326,-132.99,53.36,-7.92
327,-133.68,51.97,-13.99
328,-130.72,51.94,-16.98
329,-132.73,48.77,-22.92
330,-135.81,45.98,-25.98
331,-130.16,45.86,-29.66
332,-135.84,41.28,-32.43
333,-129.88,41.47,-35.9
334,-131.51,37.96,-38.92
335,-132.96,33.97,-41.79
336,-133.67,29.54,-44.71
337,-129.12,28,-47.92
338,-134.12,24.71,-47.4
339,-133.24,19.9,-50.08
340,-133.38,10.15,-52.87
341,-127.41,9.52,-55.53
342,-132.06,2.75,-54.29
343,-127.01,0.83,56.12
344,-131.1,4.49,55.32
345,-134.26,9.17,54.05
346,-136.41,14.14,52.65
347,-133.03,17.83,52.21
348,-134.35,22.94,49.98
349,-130.19,26.36,49.08
350,-130.12,31.06,46.29
351,-130.41,35.1,43.18
352,-130.69,38.88,39.78
353,-127.7,41.87,37.49
354,-131.84,42.77,35.3
355,-132.34,44.91,32.02
356,-132.86,47.06,28.31
357,-127.94,49.81,25.27
358,-129.39,51.17,20.91
359,-125.87,53.13,17.74
360,-130.94,52.97,12.17
361,-124.32,55.88,4.32
362,-128.79,54.8,0.73
363,-124.07,56.09,-2.68
364,-127.84,55.03,-5.83
365,-125.07,54.5,-13.69
366,-127.43,51.61,-20.35
367,-124.98,50.96,-23.72
368,-128.02,48.49,-26.61
369,-123.62,48.08,-30.31
370,-128.46,44.35,-33.01
371,-123.53,44.1,-36.45
372,-125.48,40.5,-39.45
373,-126.96,36.85,-42.42
374,-128.36,32.68,-45.18
375,-124.6,25.81,-51.09
376,-128.98,23.05,-50.57
377,-124.47,20.64,-53.38
378,-127.79,17.4,-53.28
379,-124.73,11.23,-56.1
380,-128.79,5.59,-55.28
381,-123.18,3.53,56.69
382,-128.56,7.44,55.31
383,-123.7,12.48,55.46
384,-128.78,15.2,53.92
385,-125.94,18.4,53.47
386,-129.78,21.32,51.62
387,-125.93,25.11,50.71
388,-125.69,29.88,48.11
389,-125.28,34.12,45.32
390,-125.65,37.93,41.98
391,-121.58,41.11,40.05
392,-122.98,44.69,35.7
393,-125.43,46.18,32.74
394,-126.41,48.14,29.25
395,-120.87,51.03,26.62
396,-122.73,52.32,22.42
397,-124.37,54.49,14.22
398,-125.43,54.92,10.11
399,-119.69,56.88,7.5
400,-120.2,57.19,0.77
401,-116.74,58.28,-2.86
402,-120.85,56.74,-7.25
403,-117.8,56.62,-14.34
404,-123.01,54.11,-17.49
405,-119.69,53.78,-21.42
406,-120.71,50.87,-27.18
407,-116.93,50.03,-31.33
408,-120.97,46.93,-33.87
409,-119.11,43.09,-39.95
410,-121.16,39.25,-42.68
411,-123.2,34.97,-45.59
412,-124.4,30.55,-48.42
413,-119.56,28.74,-51.5
414,-119.74,23.22,-54.16
415,-118.99,16.97,-56.68
416,-122.62,14.93,-55.97
417,-118.6,8.22,-58.73
418,-121.82,4.19,-58.16
419,-117.44,3.04,57.71
420,-124.98,8.26,56.2
421,-119.44,11.39,56.51
422,-120.17,16.88,55.09
423,-116.94,20.91,54.36
424,-122.85,21.88,52.81
425,-119.54,25.6,52.05
426,-120.74,29.59,49.67
427,-119.62,33.78,46.98
428,-119.56,37.46,44.12
429,-115.72,40.73,42.06
430,-117.56,44.07,38.19
431,-117.09,47.56,33.89
432,-119.37,49.21,30.52
433,-116.14,53.63,23.53
434,-118.53,54.62,19.05
435,-116.97,56.1,15.61
436,-117.71,56.79,11.61
437,-112.44,58.61,8.46
438,-116.17,58.23,3.98
439,-113.82,58.83,-6.08
440,-120.28,56.58,-10.49
441,-112.04,57.79,-16.48
442,-115.98,55.86,-18.94
443,-111.85,55.85,-22.59
444,-116.28,53.59,-24.93
445,-110.83,51.63,-32.29
446,-116.08,46.28,-37.43
447,-114.97,41.63,-43.12
448,-117.04,37.65,-45.98
449,-113.2,35.66,-49.04
450,-114.7,31.16,-51.73
451,-110.59,28.64,-54.42
452,-115.45,26.15,-54.36
453,-115.57,20.29,-56.82
454,-115.86,12.14,-59
455,-112.83,10.69,-60.25
456,-116.12,5.24,-60.04
457,-108.8,2.4,59.34
458,-113.83,7.69,58.06
459,-112.41,11.91,57.57
460,-115.63,15.61,56.25
461,-112.05,20.1,55.6
462,-114.03,25.04,53.21
463,-110.41,29.09,52.01
464,-115.58,29.86,50.68
465,-113.91,33.68,48.5
466,-113.7,37.21,45.72
467,-111.12,43.6,40.54
468,-112.22,46.44,36.89
469,-112.27,50.22,31.64
470,-113.76,52,27.83
471,-109.28,54.35,25.18
472,-111.65,55.73,20.61
473,-110.63,57.19,17.12
474,-110.68,58.3,12.87
475,-109.23,59.72,4.99
476,-112.11,59.62,0.53
477,-109.03,60.36,-2.67
478,-112.8,58.84,-9.69
479,-110.88,58.8,-12.76
480,-107.66,57.97,-20.06
481,-107.81,55.92,-25.53
482,-107.56,54.56,-28.6
483,-113.22,49.07,-35.07
484,-112.42,44.95,-40.64
485,-108.89,43.22,-43.93
486,-111.49,39.63,-46.45
487,-107.53,37.5,-49.63
488,-109.53,33.4,-52.05
489,-105.94,30.6,-54.9
490,-111.42,23.41,-56.74
491,-108.02,20.1,-59.06
492,-112.58,16.94,-58.89
493,-107.86,7.96,-62.11
494,-111.18,3.06,-61.64
495,-102.79,2.26,60.14
496,-106.01,7.02,59.31
497,-107,11.33,58.59
498,-109.89,15.78,57.24
499,-106.64,20.25,56.41
500,-108.74,24.69,54.39
501,-104.93,29.09,53.03
502,-108.12,33.36,50.01
503,-107.54,36.72,47.4
504,-109.79,40.34,44.01
505,-105.48,46.09,39.04
506,-107.95,48.87,34.71
507,-103.45,51.17,32.72
508,-107.02,52.54,29.37
509,-103.15,54.81,26.39
510,-105.31,56.53,22.12
511,-104.47,59.1,14.94
512,-105.89,59.85,10.12
513,-102.6,61,6.77
514,-105.35,61,2.25
515,-106.07,60.78,-6.16
516,-105.12,60.78,-9.57
517,-104.06,60.47,-13.31
518,-104.88,59.55,-16.79
519,-103.45,57.97,-23.02
520,-104.85,53.47,-32.04
521,-105.56,51,-35.69
522,-109.07,48.14,-38.29
523,-105.8,46.52,-41.56
524,-105.25,41.03,-47.24
525,-101.5,38.38,-50.83
526,-103.91,35.03,-52.73
527,-100.37,32.11,-55.59
528,-106.48,25.72,-57.22
529,-103.2,22.32,-59.49
530,-108.43,13.99,-60.9
531,-104.23,9.86,-62.72
532,-106.01,3.82,-62.74
533,-97.25,2.93,60.72
534,-103.24,6.6,59.85
535,-100.46,11.93,59.37
536,-103.93,15.23,58.4
537,-101.88,20.58,57
538,-103.16,25.07,55.11
539,-99.3,29.19,53.62
540,-102.38,33.15,51.07
541,-101.22,36.58,48.84
542,-103.52,39.84,45.65
543,-99.12,45.38,40.93
544,-101.86,48.44,36.89
545,-97.36,52.1,33.16
546,-99.88,53.53,29.7
547,-98.74,57.01,23.44
548,-103.53,58.07,18.76
549,-97.54,60.07,15.53
550,-99.67,60.68,11.95
551,-98.38,62.23,4.64
552,-102.8,61.86,-1.07
553,-100.04,62.36,-5.09
554,-98.77,62.17,-9.39
555,-98.53,60.82,-16.86
556,-99.89,59.66,-20.23
557,-99.37,57.83,-25.78
558,-100.7,56.18,-28.79
559,-100.05,53.03,-34.88
560,-102.24,49.85,-38.77
561,-100.21,47.78,-41.93
562,-102.93,44.5,-44.88
563,-100.07,41.51,-48.46
564,-97.95,35.61,-54.06
565,-96.4,30.19,-57.97
566,-101.8,27.75,-57.55
567,-99.05,20.5,-61.33
568,-104.35,16.66,-61.15
569,-99.56,9.2,-64.19
570,-100.45,4.05,-64.29
571,-92.54,1.18,61.32
572,-97.49,8.3,60.41
573,-95.03,12.53,59.99
574,-99.44,16.52,58.62
575,-96.68,21.12,57.53
576,-97.83,25.17,55.81
577,-93.89,28.78,54.69
578,-96.33,32.87,52.02
579,-97.25,39.3,47.29
580,-98.52,42.36,44.29
581,-95.23,47.21,40.03
582,-96.92,49.88,36.5
583,-93.28,54.37,30.56
584,-95.81,55.9,26.8
585,-93.47,58.33,22.47
586,-97.07,58.9,19.18
587,-92.1,61.26,15.12
588,-96.66,61.67,9.22
589,-97.1,62.71,1.61
590,-96.27,62.95,-2.23
591,-94.16,63.04,-7.28
592,-97.48,61.84,-12.93
593,-92.75,61.94,-15.4
594,-95.02,59.51,-23.41
595,-94,57.91,-28.22
596,-98.42,55.14,-31.82
597,-92.99,53.58,-37
598,-97.2,51.49,-38.38
599,-94.23,47.58,-44.31
600,-97.15,44.87,-45.92
601,-94.08,41.99,-50.08
602,-95.19,38.69,-52.52
603,-92.29,28.05,-60.36
604,-98.24,25.23,-59.78
605,-94.73,18.8,-63.29
606,-100.77,14.86,-62.54
607,-91.5,12.66,-65.91
608,-96.87,1.71,-65.67
609,-89.89,4.68,61.57
610,-93.29,6.77,61.05
611,-90.61,11.22,60.74
612,-93.88,17.3,59.15
613,-90.68,20.71,58.43
614,-92.41,24.69,56.75
615,-90.95,32.1,53.3
616,-94.85,35.95,50.22
617,-90.37,37.81,49.55
618,-91.92,40.89,46.86
619,-89.51,45.67,42.76
620,-90.26,48.75,39.15
621,-88.87,53.38,33.11
622,-90.35,56.53,27.45
623,-87.93,58.08,24.66
624,-90.79,59.96,19.34
625,-90.98,61.89,12.25
626,-91.9,62.69,7.77
627,-90.51,63.34,4.84
628,-90.59,63.53,1.22
629,-90.47,63.55,-5.33
630,-91.22,63.01,-11.63
631,-89.53,62.03,-18.63
632,-93.21,60.75,-20.47
633,-89.91,59.63,-26.42
634,-92.11,55.48,-34.07
635,-87.37,54.29,-38.35
636,-93.3,50.13,-41.68
637,-88.26,47.61,-46.39
638,-91.2,44.72,-48.51
639,-89.08,40.06,-53.48
640,-93.18,33.81,-56.98
641,-88.88,31.42,-59.59
642,-93.48,23.52,-61.88
643,-88.78,22.02,-63.98
644,-96.03,14.29,-64.13
645,-87.95,9.79,-67.54
646,-92.26,5.2,-66.83
647,-83.32,5.8,62.11
648,-86.47,8.73,61.5
649,-85.05,13.48,60.89
650,-89.31,15.83,60
651,-86.77,24.02,57.71
652,-88.45,28.02,55.81
653,-85.05,30.69,54.72
654,-87.94,34.7,52.12
655,-85.11,38.69,49.58
656,-87.12,42.05,46.45
657,-85.19,47.26,41.59
658,-86.2,50.53,37.78
659,-83.44,53,34.7
660,-86.1,55.37,30.44
661,-85.71,59.57,22.16
662,-86.33,61.07,17.54
663,-83.57,62.24,14.95
664,-86.6,62.9,10.69
665,-85.25,64.03,5.13
666,-89.41,63.78,-1.94
667,-83.99,64.85,-5.04
668,-87.66,63.79,-9.57
669,-85.06,63.36,-16.86
670,-87.24,61.14,-23.7
671,-84.6,59.89,-28.88
672,-91.24,57.2,-31.05
673,-85.21,56.71,-34.89
674,-88.87,51.39,-41.83
675,-84.69,49.56,-45.54
676,-86.5,43.12,-51.46
677,-83.25,40.43,-54.9
678,-90.42,36.66,-55.75
679,-85.06,33.53,-59.59
680,-87.42,26.53,-62.74
681,-82.89,23.44,-65.29
682,-89.78,17.77,-65.16
683,-86.44,5.21,-68.49
684,-90.03,0.93,-67.65
685,-79.26,2.99,62.66
686,-81.37,10.51,61.71
687,-78.24,13.89,61.66
688,-85.63,19.39,59.41
689,-81.63,22.15,58.96
690,-82.42,26.46,57.08
691,-80.46,31.4,54.81
692,-82.92,35.13,52.52
693,-81.22,40.33,48.73
694,-83.5,44.02,45.27
695,-80.29,47.98,41.59
696,-80.64,50.49,38.49
697,-78.6,53.51,35.04
698,-83.08,57.43,27.36
699,-79.87,59.73,23.78
700,-81.12,61.04,19.89
701,-79.52,63.08,14.26
702,-82.87,63.73,9.3
703,-81.55,65.07,2.63
704,-84.08,64.71,-0.3
705,-82.59,65.04,-8.25
706,-85.38,63.84,-13.69
707,-79.68,65.06,-14.91
708,-83.55,62.52,-22.23
709,-80.53,61.6,-26.83
710,-84.21,58.54,-31.94
711,-81.42,55.76,-38.17
712,-83.35,53.12,-41.43
713,-79.87,50.68,-45.67
714,-83.6,45.92,-49.56
715,-79.66,43.53,-53.18
716,-84.49,36.9,-57.39
717,-79.98,31.69,-62.06
718,-83.39,28.58,-62.84
719,-83.83,19.28,-66.51
720,-80.8,13.62,-68.75
721,-81.87,8.86,-69.35
722,-83.53,1.37,-69.66
723,-74.51,1.36,62.96
724,-77.55,7.23,62.4
725,-74.57,10.65,62.33
726,-76.88,18.67,60.48
727,-76.85,22.62,59.21
728,-78.12,27.33,57.12
729,-75.95,32.53,54.68
730,-78.52,36.5,51.92
731,-76.63,41.15,48.42
732,-79.05,44.67,45.24
733,-75.11,47.05,43.57
734,-75.43,50.72,39.64
735,-75.3,55.64,32.48
736,-77.82,58.29,27.03
737,-74.15,61.26,22.81
738,-76.59,62.26,18.81
739,-76.55,64.44,11.84
740,-78.87,64.95,7.1
741,-76.17,66.27,2.42
742,-79.22,65.9,-2.48
743,-76.41,66.56,-6.33
744,-78.94,65.72,-10.89
745,-76.07,65.39,-17.9
746,-79.96,63.85,-20.36
747,-76.78,61.14,-29.96
748,-78.29,59.17,-33.55
749,-76.95,57.44,-37.07
750,-77.91,53.26,-43.02
751,-75.1,49.46,-48.3
752,-78.76,47.05,-50.01
753,-77.22,40.7,-56.28
754,-79.09,37.09,-58.81
755,-76.76,34.13,-61.59
756,-78.28,26.23,-65.09
